subj_id,qual_col,RT,measure,row,sentID
R_2uOs8d5Okoyss7z,Timing_1(7),3.086,Timing_1,7,149
R_1JEdl2aEMuUO63f,Timing_1(7),4.764,Timing_1,7,149
R_6L3ln2BoQAzJw2d,Timing_1(7),1.706,Timing_1,7,149
R_xAA7goWcKMvmb1D,Timing_1(7),4.823,Timing_1,7,149
R_248iCMeSwyLS8sF,Timing_1(7),6.94,Timing_1,7,149
R_OING4tGkg3q8VLb,Timing_1(7),10.352,Timing_1,7,149
R_3kvbwPackXPANmo,Timing_1(7),2.966,Timing_1,7,149
R_3lRiG6M8Z6vKWZh,Timing_1(7),7.19,Timing_1,7,149
R_3q9cZ9NJjEx872v,Timing_1(7),5.845,Timing_1,7,149
R_ABt8n7PxUqkXqy5,Timing_1(7),6.454,Timing_1,7,149
R_3k6rPDoCD4kup7x,Timing_1(7),14.373,Timing_1,7,149
R_p6iBXJstulO97Jn,Timing_1(7),8.634,Timing_1,7,149
R_USFewLQTXHp0kPT,Timing_1(7),0.848,Timing_1,7,149
R_vrAH2qrxu41QSv7,Timing_1(8),3.954,Timing_1,8,150
R_6Pg4ql6MQumxZo9,Timing_1(8),2.754,Timing_1,8,150
R_1QaBlAsk46HI9NJ,Timing_1(8),4.309,Timing_1,8,150
R_pKtuHvEeh5mujgl,Timing_1(8),2.488,Timing_1,8,150
R_RrYmeJDnKB3hv7r,Timing_1(8),5.746,Timing_1,8,150
R_2alPe2ZkILnzWYp,Timing_1(8),3.839,Timing_1,8,150
R_24zMzQY1U9LX5Gf,Timing_1(8),3.436,Timing_1,8,150
R_2zAp7MZjWbJtouD,Timing_1(8),10.758,Timing_1,8,150
R_1lgea30X5yRbWgb,Timing_1(8),5.045,Timing_1,8,150
R_1dg0dAPlymYfFcu,Timing_1(8),6.504,Timing_1,8,150
R_23TSscPxb3G1aSA,Timing_1(8),4.355,Timing_1,8,150
R_3effdDALVVpFhkK,Timing_1(8),16.234,Timing_1,8,150
