subj_id,qual_col,Diff,measure,row,sentID
R_xAA7goWcKMvmb1D,Diff(8),6,Diff,8,150
R_248iCMeSwyLS8sF,Diff(8),6,Diff,8,150
R_OING4tGkg3q8VLb,Diff(8),6,Diff,8,150
R_3kvbwPackXPANmo,Diff(8),6,Diff,8,150
R_3lRiG6M8Z6vKWZh,Diff(8),6,Diff,8,150
R_3q9cZ9NJjEx872v,Diff(8),6,Diff,8,150
R_ABt8n7PxUqkXqy5,Diff(8),6,Diff,8,150
R_3k6rPDoCD4kup7x,Diff(8),6,Diff,8,150
R_p6iBXJstulO97Jn,Diff(8),6,Diff,8,150
R_USFewLQTXHp0kPT,Diff(8),6,Diff,8,150
R_vrAH2qrxu41QSv7,Diff(9),6,Diff,9,151
R_6Pg4ql6MQumxZo9,Diff(9),6,Diff,9,151
R_1QaBlAsk46HI9NJ,Diff(9),6,Diff,9,151
R_pKtuHvEeh5mujgl,Diff(9),5,Diff,9,151
R_RrYmeJDnKB3hv7r,Diff(9),6,Diff,9,151
R_2alPe2ZkILnzWYp,Diff(9),6,Diff,9,151
R_24zMzQY1U9LX5Gf,Diff(9),6,Diff,9,151
R_2zAp7MZjWbJtouD,Diff(9),6,Diff,9,151
R_1lgea30X5yRbWgb,Diff(9),6,Diff,9,151
R_1dg0dAPlymYfFcu,Diff(9),5,Diff,9,151
R_23TSscPxb3G1aSA,Diff(9),5,Diff,9,151
R_3effdDALVVpFhkK,Diff(9),5,Diff,9,151
R_2PpvbvcItA8LcqM,Diff(9),6,Diff,9,151
R_25WvorTEPc7DuHX,Diff(9),6,Diff,9,151
R_ZJCIt5D6m80Wim5,Diff(9),6,Diff,9,151
R_6gQpeEEoAOw1CNz,Diff(9),6,Diff,9,151
R_UcJP3naTdDXJEDn,Diff(9),6,Diff,9,151
R_21pKbw8vqrjpJ4Q,Diff(9),6,Diff,9,151
R_1HiWKvIl546M44z,Diff(9),6,Diff,9,151
R_BFIiDPrnKiKOhkB,Diff(9),6,Diff,9,151
R_232AZeZQOdbRSAK,Diff(9),6,Diff,9,151
R_1odMwWpdALe3A7c,Diff(9),5,Diff,9,151
R_3CMZ1prTdwstnIi,Diff(9),5,Diff,9,151
R_2SDkvNUYWKzQ9b4,Diff(9),5,Diff,9,151
R_2qwqWlqovi1EnxK,Diff(9),5,Diff,9,151
R_1nSW9rReHHlwpSQ,Diff(9),6,Diff,9,151
R_3FPt6NNv7fs4bHV,Diff(9),6,Diff,9,151
R_2uOs8d5Okoyss7z,Diff(9),5,Diff,9,151
R_1JEdl2aEMuUO63f,Diff(9),6,Diff,9,151
R_6L3ln2BoQAzJw2d,Diff(9),6,Diff,9,151
R_xAA7goWcKMvmb1D,Diff(9),5,Diff,9,151
R_248iCMeSwyLS8sF,Diff(9),6,Diff,9,151
R_OING4tGkg3q8VLb,Diff(9),5,Diff,9,151
R_3kvbwPackXPANmo,Diff(9),6,Diff,9,151
R_3lRiG6M8Z6vKWZh,Diff(9),6,Diff,9,151
R_3q9cZ9NJjEx872v,Diff(9),6,Diff,9,151
R_ABt8n7PxUqkXqy5,Diff(9),6,Diff,9,151
R_3k6rPDoCD4kup7x,Diff(9),6,Diff,9,151
R_p6iBXJstulO97Jn,Diff(9),6,Diff,9,151
R_USFewLQTXHp0kPT,Diff(9),5,Diff,9,151
R_vrAH2qrxu41QSv7,Diff(10),6,Diff,10,152
R_6Pg4ql6MQumxZo9,Diff(10),6,Diff,10,152
R_1QaBlAsk46HI9NJ,Diff(10),6,Diff,10,152
R_pKtuHvEeh5mujgl,Diff(10),6,Diff,10,152
R_RrYmeJDnKB3hv7r,Diff(10),6,Diff,10,152
R_2alPe2ZkILnzWYp,Diff(10),6,Diff,10,152
R_24zMzQY1U9LX5Gf,Diff(10),6,Diff,10,152
R_2zAp7MZjWbJtouD,Diff(10),6,Diff,10,152
R_1lgea30X5yRbWgb,Diff(10),6,Diff,10,152
R_1dg0dAPlymYfFcu,Diff(10),6,Diff,10,152
R_23TSscPxb3G1aSA,Diff(10),6,Diff,10,152
R_3effdDALVVpFhkK,Diff(10),6,Diff,10,152
R_2PpvbvcItA8LcqM,Diff(10),6,Diff,10,152
R_25WvorTEPc7DuHX,Diff(10),6,Diff,10,152
R_ZJCIt5D6m80Wim5,Diff(10),6,Diff,10,152
R_6gQpeEEoAOw1CNz,Diff(10),6,Diff,10,152
R_UcJP3naTdDXJEDn,Diff(10),6,Diff,10,152
R_21pKbw8vqrjpJ4Q,Diff(10),6,Diff,10,152
R_1HiWKvIl546M44z,Diff(10),6,Diff,10,152
R_BFIiDPrnKiKOhkB,Diff(10),6,Diff,10,152
R_232AZeZQOdbRSAK,Diff(10),6,Diff,10,152
R_1odMwWpdALe3A7c,Diff(10),6,Diff,10,152
R_3CMZ1prTdwstnIi,Diff(10),6,Diff,10,152
R_2SDkvNUYWKzQ9b4,Diff(10),5,Diff,10,152
R_2qwqWlqovi1EnxK,Diff(10),5,Diff,10,152
R_1nSW9rReHHlwpSQ,Diff(10),6,Diff,10,152
R_3FPt6NNv7fs4bHV,Diff(10),6,Diff,10,152
R_2uOs8d5Okoyss7z,Diff(10),6,Diff,10,152
R_1JEdl2aEMuUO63f,Diff(10),6,Diff,10,152
R_6L3ln2BoQAzJw2d,Diff(10),6,Diff,10,152
R_xAA7goWcKMvmb1D,Diff(10),4,Diff,10,152
R_248iCMeSwyLS8sF,Diff(10),5,Diff,10,152
R_OING4tGkg3q8VLb,Diff(10),4,Diff,10,152
R_3kvbwPackXPANmo,Diff(10),6,Diff,10,152
R_3lRiG6M8Z6vKWZh,Diff(10),6,Diff,10,152
R_3q9cZ9NJjEx872v,Diff(10),6,Diff,10,152
R_ABt8n7PxUqkXqy5,Diff(10),6,Diff,10,152
R_3k6rPDoCD4kup7x,Diff(10),6,Diff,10,152
R_p6iBXJstulO97Jn,Diff(10),6,Diff,10,152
R_USFewLQTXHp0kPT,Diff(10),6,Diff,10,152
R_vrAH2qrxu41QSv7,Diff(11),6,Diff,11,153
R_6Pg4ql6MQumxZo9,Diff(11),6,Diff,11,153
R_1QaBlAsk46HI9NJ,Diff(11),6,Diff,11,153
R_pKtuHvEeh5mujgl,Diff(11),6,Diff,11,153
R_RrYmeJDnKB3hv7r,Diff(11),6,Diff,11,153
R_2alPe2ZkILnzWYp,Diff(11),6,Diff,11,153
R_24zMzQY1U9LX5Gf,Diff(11),6,Diff,11,153
R_2zAp7MZjWbJtouD,Diff(11),6,Diff,11,153
R_1lgea30X5yRbWgb,Diff(11),6,Diff,11,153
R_1dg0dAPlymYfFcu,Diff(11),6,Diff,11,153
R_23TSscPxb3G1aSA,Diff(11),6,Diff,11,153
R_3effdDALVVpFhkK,Diff(11),5,Diff,11,153
R_2PpvbvcItA8LcqM,Diff(11),6,Diff,11,153
R_25WvorTEPc7DuHX,Diff(11),6,Diff,11,153
R_ZJCIt5D6m80Wim5,Diff(11),6,Diff,11,153
R_6gQpeEEoAOw1CNz,Diff(11),6,Diff,11,153
R_UcJP3naTdDXJEDn,Diff(11),6,Diff,11,153
R_21pKbw8vqrjpJ4Q,Diff(11),6,Diff,11,153
R_1HiWKvIl546M44z,Diff(11),6,Diff,11,153
R_BFIiDPrnKiKOhkB,Diff(11),6,Diff,11,153
