subj_id,qual_col,NatNess,measure,row,sentID
R_pKtuHvEeh5mujgl,Natural(9),5.0,Natural,9,151
R_RrYmeJDnKB3hv7r,Natural(9),4.0,Natural,9,151
R_2alPe2ZkILnzWYp,Natural(9),1.0,Natural,9,151
R_24zMzQY1U9LX5Gf,Natural(9),5.0,Natural,9,151
R_2zAp7MZjWbJtouD,Natural(9),1.0,Natural,9,151
R_1lgea30X5yRbWgb,Natural(9),4.0,Natural,9,151
R_1dg0dAPlymYfFcu,Natural(9),5.0,Natural,9,151
R_23TSscPxb3G1aSA,Natural(9),5.0,Natural,9,151
R_3effdDALVVpFhkK,Natural(9),4.0,Natural,9,151
R_2PpvbvcItA8LcqM,Natural(9),5.0,Natural,9,151
R_25WvorTEPc7DuHX,Natural(9),5.0,Natural,9,151
R_ZJCIt5D6m80Wim5,Natural(9),1.0,Natural,9,151
R_6gQpeEEoAOw1CNz,Natural(9),5.0,Natural,9,151
R_UcJP3naTdDXJEDn,Natural(9),4.0,Natural,9,151
R_21pKbw8vqrjpJ4Q,Natural(9),5.0,Natural,9,151
R_1HiWKvIl546M44z,Natural(9),3.0,Natural,9,151
R_BFIiDPrnKiKOhkB,Natural(9),5.0,Natural,9,151
R_232AZeZQOdbRSAK,Natural(9),4.0,Natural,9,151
R_1odMwWpdALe3A7c,Natural(9),4.0,Natural,9,151
R_3CMZ1prTdwstnIi,Natural(9),5.0,Natural,9,151
R_2SDkvNUYWKzQ9b4,Natural(9),4.0,Natural,9,151
R_2qwqWlqovi1EnxK,Natural(9),4.0,Natural,9,151
R_1nSW9rReHHlwpSQ,Natural(9),5.0,Natural,9,151
R_3FPt6NNv7fs4bHV,Natural(9),4.0,Natural,9,151
R_2uOs8d5Okoyss7z,Natural(9),2.0,Natural,9,151
R_1JEdl2aEMuUO63f,Natural(9),5.0,Natural,9,151
R_6L3ln2BoQAzJw2d,Natural(9),5.0,Natural,9,151
R_xAA7goWcKMvmb1D,Natural(9),4.0,Natural,9,151
R_248iCMeSwyLS8sF,Natural(9),5.0,Natural,9,151
R_OING4tGkg3q8VLb,Natural(9),4.0,Natural,9,151
R_3kvbwPackXPANmo,Natural(9),2.0,Natural,9,151
R_3lRiG6M8Z6vKWZh,Natural(9),5.0,Natural,9,151
R_3q9cZ9NJjEx872v,Natural(9),5.0,Natural,9,151
R_ABt8n7PxUqkXqy5,Natural(9),4.0,Natural,9,151
R_3k6rPDoCD4kup7x,Natural(9),5.0,Natural,9,151
R_p6iBXJstulO97Jn,Natural(9),3.0,Natural,9,151
R_USFewLQTXHp0kPT,Natural(9),4.0,Natural,9,151
R_vrAH2qrxu41QSv7,Natural(10),5.0,Natural,10,152
R_6Pg4ql6MQumxZo9,Natural(10),5.0,Natural,10,152
R_1QaBlAsk46HI9NJ,Natural(10),5.0,Natural,10,152
R_pKtuHvEeh5mujgl,Natural(10),5.0,Natural,10,152
R_RrYmeJDnKB3hv7r,Natural(10),5.0,Natural,10,152
R_2alPe2ZkILnzWYp,Natural(10),5.0,Natural,10,152
R_24zMzQY1U9LX5Gf,Natural(10),5.0,Natural,10,152
R_2zAp7MZjWbJtouD,Natural(10),4.0,Natural,10,152
R_1lgea30X5yRbWgb,Natural(10),5.0,Natural,10,152
R_1dg0dAPlymYfFcu,Natural(10),4.0,Natural,10,152
R_23TSscPxb3G1aSA,Natural(10),5.0,Natural,10,152
R_3effdDALVVpFhkK,Natural(10),5.0,Natural,10,152
R_2PpvbvcItA8LcqM,Natural(10),5.0,Natural,10,152
R_25WvorTEPc7DuHX,Natural(10),5.0,Natural,10,152
R_ZJCIt5D6m80Wim5,Natural(10),5.0,Natural,10,152
R_6gQpeEEoAOw1CNz,Natural(10),5.0,Natural,10,152
